"Placa";"Vaga";"Categoria Demora";"Data Inicial";"Data Final";"Tempo Indisponível (HH:MM)"
"FSA3D71";"CAMINHÃO AUTO VÁCUO - GPS - 05";"Descarregamento";"01/07/2025 14:34:12";"01/07/2025 15:55:02";"01:21"
"DSY6471";"CAMINHÃO HIPER VÁCUO - GPS - 01";"Preparação";"01/07/2025 14:35:10";"01/07/2025 14:47:01";"00:12"
"ANF-2676";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Documentação";"01/07/2025 14:41:44";"01/07/2025 14:49:39";"00:08"
"ANF-2676";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Preparação";"01/07/2025 14:50:03";"01/07/2025 15:07:16";"00:17"
"DSY6475";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Documentação";"01/07/2025 15:05:48";"01/07/2025 15:24:25";"00:19"
"DSY6473";"CAMINHÃO AUTO VÁCUO - GPS - 07";"Descarregamento";"01/07/2025 15:23:31";"01/07/2025 16:03:17";"00:40"
"DSY6475";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Preparação";"01/07/2025 15:24:36";"01/07/2025 15:28:15";"00:04"
"DSY6474";"CAMINHÃO ALTA PRESSÃO - GPS - 02";"Documentação";"01/07/2025 15:57:56";"01/07/2025 16:00:44";"00:03"
"ANF-2676";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Descarregamento";"01/07/2025 16:13:39";"01/07/2025 16:37:31";"00:24"
"EGC2993";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Pausas Diversas (água, banheiro)";"01/07/2025 17:15:17";"01/07/2025 17:26:48";"00:12"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Descarregamento";"01/07/2025 17:46:54";"01/07/2025 18:56:06";"01:09"
"EGC2993";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Pausas Diversas (água, banheiro)";"01/07/2025 18:43:56";"01/07/2025 18:49:24";"00:05"
"EGC2993";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Descarregamento";"01/07/2025 18:52:30";"01/07/2025 19:07:47";"00:15"
"ANF-2676";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Abordagem de Segurança";"01/07/2025 19:10:34";"01/07/2025 19:10:39";"00:00"
"DSY6F81";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"Documentação";"01/07/2025 19:28:41";"01/07/2025 19:57:21";"00:29"
"EGC2983";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"Documentação";"01/07/2025 19:32:08";"01/07/2025 19:48:51";"00:17"
"DSY6577";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Aguardando Área";"01/07/2025 19:46:39";"01/07/2025 19:46:43";"00:00"
"DSY6577";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Aguardando Área";"01/07/2025 19:46:52";"01/07/2025 20:09:38";"00:23"
"EGC2983";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"Refeição Motorista";"01/07/2025 19:49:45";"01/07/2025 20:50:54";"01:01"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Descarregamento";"01/07/2025 19:54:41";"01/07/2025 20:16:43";"00:22"
"DSY6F81";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"Aguardando Área";"01/07/2025 19:57:38";"01/07/2025 20:05:05";"00:07"
"DSY6F81";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"Preparação";"01/07/2025 20:05:17";"01/07/2025 20:10:06";"00:05"
"DSY6577";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Refeição Motorista";"01/07/2025 20:18:03";"01/07/2025 21:19:41";"01:02"
"EGC2993";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Descarregamento";"01/07/2025 20:26:48";"01/07/2025 20:37:41";"00:11"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Refeição Motorista";"01/07/2025 20:28:57";"01/07/2025 21:28:58";"01:00"
"EGC2993";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Pausas Diversas (água, banheiro)";"01/07/2025 20:39:14";"01/07/2025 20:43:14";"00:04"
"EGC2993";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Refeição Motorista";"01/07/2025 20:52:34";"01/07/2025 20:53:01";"00:00"
"EGC2983";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"Aguardando Área";"01/07/2025 21:01:07";"01/07/2025 21:06:46";"00:06"
"EGC2983";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"Preparação";"01/07/2025 21:09:48";"01/07/2025 21:26:17";"00:16"
